SRR22891572	fastq/SRR22891572_1.fastq.gz	fastq/SRR22891572_2.fastq.gz
SRR22891573	fastq/SRR22891573_1.fastq.gz	fastq/SRR22891573_2.fastq.gz
SRR22891574	fastq/SRR22891574_1.fastq.gz	fastq/SRR22891574_2.fastq.gz
SRR22891575	fastq/SRR22891575_1.fastq.gz	fastq/SRR22891575_2.fastq.gz
SRR22891576	fastq/SRR22891576_1.fastq.gz	fastq/SRR22891576_2.fastq.gz
SRR22891577	fastq/SRR22891577_1.fastq.gz	fastq/SRR22891577_2.fastq.gz
SRR22891578	fastq/SRR22891578_1.fastq.gz	fastq/SRR22891578_2.fastq.gz
SRR22891579	fastq/SRR22891579_1.fastq.gz	fastq/SRR22891579_2.fastq.gz
SRR22891580	fastq/SRR22891580_1.fastq.gz	fastq/SRR22891580_2.fastq.gz
SRR22891581	fastq/SRR22891581_1.fastq.gz	fastq/SRR22891581_2.fastq.gz
SRR22891582	fastq/SRR22891582_1.fastq.gz	fastq/SRR22891582_2.fastq.gz
SRR22891583	fastq/SRR22891583_1.fastq.gz	fastq/SRR22891583_2.fastq.gz
SRR22891584	fastq/SRR22891584_1.fastq.gz	fastq/SRR22891584_2.fastq.gz
SRR22891585	fastq/SRR22891585_1.fastq.gz	fastq/SRR22891585_2.fastq.gz
SRR22891586	fastq/SRR22891586_1.fastq.gz	fastq/SRR22891586_2.fastq.gz
SRR22891587	fastq/SRR22891587_1.fastq.gz	fastq/SRR22891587_2.fastq.gz
SRR22891588	fastq/SRR22891588_1.fastq.gz	fastq/SRR22891588_2.fastq.gz
SRR22891589	fastq/SRR22891589_1.fastq.gz	fastq/SRR22891589_2.fastq.gz
SRR22891590	fastq/SRR22891590_1.fastq.gz	fastq/SRR22891590_2.fastq.gz
SRR22891591	fastq/SRR22891591_1.fastq.gz	fastq/SRR22891591_2.fastq.gz
SRR22891592	fastq/SRR22891592_1.fastq.gz	fastq/SRR22891592_2.fastq.gz
SRR22891593	fastq/SRR22891593_1.fastq.gz	fastq/SRR22891593_2.fastq.gz
SRR22891594	fastq/SRR22891594_1.fastq.gz	fastq/SRR22891594_2.fastq.gz
SRR22891595	fastq/SRR22891595_1.fastq.gz	fastq/SRR22891595_2.fastq.gz
SRR22891596	fastq/SRR22891596_1.fastq.gz	fastq/SRR22891596_2.fastq.gz
SRR22891597	fastq/SRR22891597_1.fastq.gz	fastq/SRR22891597_2.fastq.gz
SRR22891598	fastq/SRR22891598_1.fastq.gz	fastq/SRR22891598_2.fastq.gz
